"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"19780626034919I","26-JUN-78","JAMAICA","NY","JOHN F KENNEDY INTL","INCIDENT","","OPERATIONS ON GROUND FROM LANDING/ROTORCRAFT","AIRBUS","A300","B4 2C","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","203EA","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19780710042979I","10-JUL-78","MIAMI","FL","MIAMI INTL","INCIDENT","MINOR","TAKEOFF GROUND ROLL","AIRBUS","A300","B4 2C","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","203EA","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19790128003109I","28-JAN-79","ATLANTA","GA","HARTSFIELD - JACKSON ATLANTA INTL","INCIDENT","MINOR","OTHER GROUND OPERATIONS","AIRBUS","A300","B2","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","NR172","0","0","","","","","AIRLINE TRANSPORT","20000","126","0","0"
"19790304009989I","04-MAR-79","SAN ANTONIO","TX","","INCIDENT","","CLIMB","AIRBUS","A300","B4 2C","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","203EA","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19800103010259I","03-JAN-80","CANARSIE","NY","","INCIDENT","MINOR","CLIMB","AIRBUS","A300","B4 2C","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","","207EA","0","0","GE","CF650A","CF6","2","AIRLINE TRANSPORT","","0","0","0"
"19800220026899I","20-FEB-80","SAN ANTONIO","TX","SAN ANTONIO MUNI","INCIDENT","","NORMAL CRUISE","AIRBUS","A300","B2","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","","203","0","0","","","","","AIRLINE TRANSPORT","","0","0","0"
"19800602052589I","02-JUN-80","LOS ANGELES","CA","LOS ANGELES INTL","INCIDENT","","TAKEOFF GROUND ROLL","AIRBUS","A300","B4 2C","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","","206EA","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19800617054869I","17-JUN-80","NEW ORLEANS","LA","","INCIDENT","","NORMAL CRUISE","AIRBUS","A300","B2","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","","203","0","0","","","","","AIRLINE TRANSPORT","","0","0","0"
"19800905069179I","05-SEP-80","HOUSTON","TX","GEORGE BUSH INTERCONTINENTAL/HOUSTON","INCIDENT","","CLIMB","AIRBUS","A300","B4 2C","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","","206EA","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19801204085949I","04-DEC-80","SAN FRANCISCO","CA","SAN FRANCISCO INTL","INCIDENT","","CLIMB","AIRBUS","A300","B4 103","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","219EA","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19810206006459I","06-FEB-81","MIAMI","FL","MIAMI INTL","INCIDENT","","OTHER GROUND OPERATIONS","AIRBUS","A300","B4 2C","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","","206EA","0","0","","","","2","","","0","0","0"
"19810410023189I","10-APR-81","ORLANDO","FL","MIAMI INTL","INCIDENT","","NORMAL CRUISE","AIRBUS","A300","B4 103","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","215EA","1","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19811010081329I","10-OCT-81","HOWARD BEACH","NY","","INCIDENT","MINOR","CLIMB","AIRBUS","A300","B2","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","213EA","0","0","GE","CF6*","CF6","","AIRLINE TRANSPORT","","0","0","0"
"19811025077039I","25-OCT-81","HOUSTON","TX","","INCIDENT","","CLIMB","AIRBUS","A300","B2","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","201EA","0","0","","","","","AIRLINE TRANSPORT","","0","0","0"
"19820728066199I","28-JUL-82","SAN FRANCISCO","CA","","INCIDENT","","NORMAL CRUISE","AIRBUS","A300","B4 203","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","222EA","0","6","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19820902061279I","02-SEP-82","NEW YORK","NY","LA GUARDIA","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","AIRBUS","A300","UNDESIGNATED SERIES","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","UNKNOWN","220EA","0","0","","","","","AIRLINE TRANSPORT","","0","0","0"
"19821202066209I","02-DEC-82","ATLANTA","GA","HARTSFIELD - JACKSON ATLANTA INTL","INCIDENT","MINOR","INITIAL APPROACH-INSTRUMENT FLIGHT RULES","AIRBUS","A300","B4 2C","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","205EA","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19830301012239I","01-MAR-83","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","TO INITIAL CLIMB (1ST POWER REDUCTION)","AIRBUS","A300","B2K3C","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","291EA","0","0","GE","CF650C","CF6","2","AIRLINE TRANSPORT","","0","0","0"
"19830609032489I","09-JUN-83","CHICAGO","IL","CHICAGO O'HARE INTL","INCIDENT","","CLIMB","AIRBUS","A300","B4 103","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","219EA","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19830717045769I","17-JUL-83","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","TAKEOFF GROUND ROLL","AIRBUS","A300","B2","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","292EA","0","0","","","","","AIRLINE TRANSPORT","","0","0","0"
"19831106069119I","06-NOV-83","MIAMI","FL","MIAMI INTL","INCIDENT","MINOR","TO ABORTED (FIXED WING)","AIRBUS","A300","B4 2C","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","203EA","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19850617030769I","17-JUN-85","OMAHA","NE","EPPLEY AIRFIELD","INCIDENT","","NORMAL CRUISE","AIRBUS","A300","B2K3C","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","225EA","0","0","GE","CF6*","CF6","2","AIRLINE TRANSPORT","","0","0","0"
"19850826076459I","26-AUG-85","MILWAUKEE","WI","GENERAL MITCHELL INTL","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","AIRBUS","A300","B4 203","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","229EA","0","0","","","","2","AIRLINE TRANSPORT","7868","151","0","0"
"19851208065419I","08-DEC-85","KANSAS CITY","MO","KANSAS CITY INTL","INCIDENT","","CLIMB","AIRBUS","A300","B4 103","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","204EA","0","0","GE","CF6*","CF6","2","AIRLINE TRANSPORT","","0","0","0"
"19851230076619I","30-DEC-85","ATLANTA","GA","HARTSFIELD - JACKSON ATLANTA INTL","INCIDENT","MINOR","TO INITIAL CLIMB (1ST POWER REDUCTION)","AIRBUS","A300","B4 203","","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","231EA","0","0","GE","CF650C2","CF6","2","AIRLINE TRANSPORT","14973","2226","0","0"
"19860409014969I","09-APR-86","LOS ANGELES","CA","LOS ANGELES INTL","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","AIRBUS","A300","B4 203","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","221EA","0","0","","","","2","AIRLINE TRANSPORT","","","",""
"19860507026049I","07-MAY-86","LAS VEGAS","NV","MC CARRAN INTL","INCIDENT","","NORMAL CRUISE","AIRBUS","A300","B4 2C","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","204EA","0","0","","","","2","AIRLINE TRANSPORT","13000","2800","200","200"
"19860530036179I","30-MAY-86","ORLANDO","FL","RICHMOND INTL","INCIDENT","","NORMAL CRUISE","AIRBUS","A300","B4 103","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","212EA","0","18","","","","2","AIRLINE TRANSPORT","0","0","0","0"
"19860702042899I","02-JUL-86","HAMBURG","","","INCIDENT","SUBSTANTIAL","TO INITIAL CLIMB (1ST POWER REDUCTION)","AIRBUS","A310","200","PAN AMERICAN WORLD AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","803PA","0","0","PWA","JT9D7R4E","JT9","2","AIRLINE TRANSPORT","19000","300","0","240"
"19860921070299I","21-SEP-86","LEVITTOWN","PA","","INCIDENT","","DESCENT","AIRBUS","A300","UNDESIGNATED SERIES","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","UNKNOWN","NR516","0","0","","","","","AIRLINE TRANSPORT","16033","44","0","0"
"19861215083089I","15-DEC-86","SAN JUAN","PR","LUIS MUNOZ MARIN INTL","INCIDENT","MINOR","TO ABORTED (FIXED WING)","AIRBUS","A300","B4 103","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","204EA","0","0","","","","2","AIRLINE TRANSPORT","0","0","0","0"
"19870312029539I","12-MAR-87","MEMPHIS","TN","MEMPHIS INTL","INCIDENT","","NORMAL CRUISE","AIRBUS","A300","B4 103","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","209EA","0","0","GE","CF645A2","CF6","2","AIRLINE TRANSPORT","","","",""
"19870325042749I","25-MAR-87","PHILIPSBURG","","","INCIDENT","","GROUND TAXI, OTHER AIRPLANE","AIRBUS","A300","B4 203","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","231EA","0","0","","","","2","AIRLINE TRANSPORT","8645","509","",""
