AIDS Report Number,Local Event Date,Event City,Event State,Event Airport,Event Type,Aircraft Damage,Flight Phase,Aircraft Make,Aircraft Model,Aircraft Series,Operator,Primary Flight Type,Flight Conduct Code,Flight Plan Filed Code,Aircraft Registration Nbr,Total Fatalities,Total Injuries,Aircraft Engine Make,Aircraft Engine Model,Engine Group Code,Nbr of Engines,PIC Certificate Type,PIC Flight Time Total Hrs,PIC Flight Time Total Make-Model
20010608013749I,08-JUN-01,NEWARK,NJ,NEWARK LIBERTY INTL,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,AIRBUS,A300,F4 622R,UNITED PARCEL SERVICE CO,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,129UP,0,0,PWA,PW4158,4158,2,,,
20080516833729I,16-MAY-08,OMAHA,NE,EPPLEY AIRFIELD,INCIDENT,NONE,NORMAL CRUISE,AIRBUS,A300,F4 622R,UNITED PARCEL SERVICE CO,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,128UP,0,0,PWA,PW4158,4158,2,,0,0
20090316002799I,16-MAR-09,ALBUQUERQUE,NM,ALBUQUERQUE INTL SUNPORT,INCIDENT,MINOR,LANDING,AIRBUS,A300,F4 622R,UNITED PARCEL SERVICE CO,,AIR CARRIER/COMMERCIAL,UNKNOWN,172UP,0,0,,,,2,,0,0
20090318002549I,18-MAR-09,LOUISVILLE,KY,LOUISVILLE INTL-STANDIFORD FIELD,INCIDENT,MINOR,OTHER-SPECIFY,AIRBUS,A300,F4 622R,UNITED PARCEL SERVICE CO,,AIR CARRIER/COMMERCIAL,UNKNOWN,163UP,0,0,PWA,PW4158,4158,2,,0,0
20120822020209I,22-AUG-12,LOUISVILLE,KY,LOUISVILLE INTL-STANDIFORD FIELD,INCIDENT,MINOR,DESCENT,AIRBUS,A300,F4 622R,UNITED PARCEL SERVICE CO,,AIR CARRIER/COMMERCIAL,,147UP,0,0,P & W,PW4158,,,,,
20130212012039I,12-FEB-13,LOUISVILLE,KY,LOUISVILLE INTL-STANDIFORD FIELD,INCIDENT,MINOR,DESCENT,AIRBUS,A300,F4 622R,UNITED PARCEL SERVICE CO,,AIR CARRIER/COMMERCIAL,,166UP,0,0,P & W,PW4158,P1535,,AIRLINE TRANSPORT,5446,3118
20130716012809I,16-JUL-13,OMAHA,NE,EPPLEY AIRFIELD,INCIDENT,NONE,LANDING: APPROACH,AIRBUS,A300,F4 622R,UNITED PARCEL SERVICE CO,,AIR CARRIER/COMMERCIAL,,143UP,0,0,P & W,PW4158,UNKNOW,,AIRLINE TRANSPORT,9250,2755
20130725020912I,25-JUL-13,GREER,SC,GREENVILLE SPARTANBURG INTL,INCIDENT,MINOR,TAXI,AIRBUS,A300,F4 622R,UNITED PARCEL SERVICE CO,,AIR CARRIER/COMMERCIAL,,137UP,0,0,,,,,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,19150,3481
20170425012999I,25-APR-17,LAREDO,TX,LAREDO INTL,INCIDENT,NONE,TAXI,AIRBUS,A300,F4 622R,UNITED PARCEL SERVICE CO,,AIR CARRIER/COMMERCIAL,,143UP,0,0,P & W,PW4158,,,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,12700,6518
20190418002979I,18-APR-19,BOSTON,MA,GENERAL EDWARD LAWRENCE LOGAN INTL,INCIDENT,MINOR,TAXI,AIRBUS,A300,F4 622R,UNITED PARCEL SERVICE CO,,AIR CARRIER/COMMERCIAL,,140UP,0,0,P & W,PW4158,,,AIRLINE TRANSPORT,,
