AIDS Report Number,Local Event Date,Event City,Event State,Event Airport,Event Type,Aircraft Damage,Flight Phase,Aircraft Make,Aircraft Model,Aircraft Series,Operator,Primary Flight Type,Flight Conduct Code,Flight Plan Filed Code,Aircraft Registration Nbr,Total Fatalities,Total Injuries,Aircraft Engine Make,Aircraft Engine Model,Engine Group Code,Nbr of Engines,PIC Certificate Type,PIC Flight Time Total Hrs,PIC Flight Time Total Make-Model, , 
19780101000069I,1-Jan-78,HONOLULU,HI,HONOLULU INTL,INCIDENT,,NORMAL CRUISE,BOEING,747,UNDESIGNATED SERIES,PAN AMERICAN WORLD AIRWAYS INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,743PA,0,0,,,,,AIRLINE TRANSPORT,,0,0,0
19780104001269I,4-Jan-78,DETROIT,MI,DETROIT MUNI,INCIDENT,,NORMAL CRUISE,BOEING,727,UNDESIGNATED SERIES,NORTHWEST AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,493US,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780105001349I,5-Jan-78,CLEVELAND,OH,CLEVELAND-HOPKINS INTL,INCIDENT,,NORMAL CRUISE,BOEING,707,UNDESIGNATED SERIES,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,7579,0,0,,,,,AIRLINE TRANSPORT,,0,0,0
19780105001369I,5-Jan-78,LAS VEGAS,NV,,INCIDENT,SUBSTANTIAL,CLIMB,BOEING,707,331,TRANS WORLD AIRLINES,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,768TW,0,0,,,,4,AIRLINE TRANSPORT,14000,7000,0,0
19780105050569I,5-Jan-78,BOSTON,MA,BOSTON INTL,INCIDENT,,TO ABORTED (FIXED WING),BOEING,707,123B,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,7512,0,0,,,,4,,,0,0,0
19780106001479I,6-Jan-78,NASHVILLE,TN,METRO FLD,INCIDENT,MINOR,ROLL-OUT (FIXED WING),BOEING,727,UNDESIGNATED SERIES,BRANIFF INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,298BN,0,0,,,,3,AIRLINE TRANSPORT,27053,7371,0,0
19780106001639I,6-Jan-78,PORTLAND,OR,PORTLAND MUNI,INCIDENT,,DESCENT,BOEING,727,UNDESIGNATED SERIES,UNITED AIR LINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,NR72,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780107001489I,7-Jan-78,INDIANAPOLIS,IN,INDIANAPOLIS INTL,INCIDENT,,OPERATIONS ON GROUND FROM LANDING/ROTORCRAFT,BOEING,727,UNDESIGNATED SERIES,AMERICAN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,6825,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780108002139I,8-Jan-78,JAMAICA,NY,JOHN F KENNEDY INTL,INCIDENT,,NORMAL CRUISE,BOEING,727,UNDESIGNATED SERIES,,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,964,0,0,,,,3,AIRLINE TRANSPORT,,0,0,0
19780108050579I,8-Jan-78,LOS ANGELES,CA,LOS ANGELES INTL,INCIDENT,SUBSTANTIAL,FORCED/PRECAUTIONARY LANDING,BOEING,727,247,WESTERN AIRLINES INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,2811W,0,0,PWA,JT8D15,JT8,3,AIRLINE TRANSPORT,,0,0,0
